"Country","MosquitoPopulationTotalSpecies","MosquitoPopulationEndemicSpecies","MosquitoPopulationTotalSpeciesType"
"India",338,53,271
"China",238,85,128
"United States",175,31,186
"Indonesia",439,108,201
"Pakistan",89,3,16
"Nigeria",159,13,73
"Brazil",447,148,394
"Bangladesh",113,1,5
"Russia",112,13,13
"Ethiopia",99,7,14
"Mexico",211,34,91
"Japan",124,38,67
"Egypt",27,,19
"Philippines",294,128,233
"DR Congo",248,26,82
"Vietnam",147,9,11
"Iran",56,1,3
"Turkey",50,2,5
"Germany",33,,20
"Thailand",379,59,86
"United Kingdom",24,,21
"Tanzania",138,15,28
"France",46,2,31
"South Africa",178,37,37
"Italy",41,,29
"Kenya",203,27,57
"Myanmar",83,1,13
"Colombia",251,28,61
"South Korea",53,1,5
"Sudan",137,1,47
"Uganda",216,20,88
"Spain",57,1,6
"Algeria",35,3,20
"Iraq",30,,3
"Argentina",183,27,94
"Afghanistan",22,,
"Yemen",30,2,3
"Canada",77,1,41
"Poland",39,,
"Morocco",48,2,5
"Angola",140,19,30
"Ukraine",31,,1
"Uzbekistan",11,2,3
"Malaysia",415,75,306
"Mozambique",109,1,8
"Ghana",126,1,67
"Peru",129,4,18
"Saudi Arabia",28,1,1
"Madagascar",148,90,112
"Ivory Coast",95,13,19
"Nepal",172,,1
"Cameroon",172,36,36
"Venezuela",238,40,91
"Niger",10,1,1
"Australia",231,135,219
"North Korea",53,1,5
"Syria",28,,1
"Mali",24,,1
"Burkina Faso",77,2,2
"Taiwan",105,18,56
"Sri Lanka",137,17,54
"Malawi",39,,11
"Zambia",71,1,7
"Kazakhstan",15,3,4
"Chad",16,,3
"Chile",13,6,16
"Romania",54,1,2
"Somalia",23,2,3
"Senegal",69,5,6
"Guatemala",105,3,17
"Netherlands",10,,2
"Ecuador",118,23,34
"Cambodia",137,7,17
"Zimbabwe",101,,31
"Guinea",26,1,3
"Benin",37,1,1
"Rwanda",15,2,4
"Burundi",13,,4
"Bolivia",157,7,22
"Tunisia",17,,2
"Haiti",27,,2
"Belgium",10,,
"Jordan",26,,
"Dominican Republic",41,1,20
"United Arab Emirates",3,,
"Cuba",48,6,27
"Honduras",82,2,4
"Czech Republic",42,,
"Sweden",27,2,7
"Tajikistan",26,,1
"Papua New Guinea",187,58,192
"Portugal",35,3,6
"Azerbaijan",8,2,2
"Greece",55,,10
"Hungary",26,,1
"Togo",23,,4
"Israel",36,1,5
"Austria",14,,4
"Belarus",6,,
"Switzerland",6,,
"Sierra Leone",94,2,34
"Laos",50,2,7
"Turkmenistan",8,,8
"Libya",10,,
"Kyrgyzstan",8,,
"Paraguay",63,,8
"Nicaragua",81,,9
"Bulgaria",39,,
"Serbia",23,,1
"El Salvador",69,1,8
"Republic of the Congo",91,9,9
"Denmark",18,1,6
"Singapore",100,2,31
"Lebanon",20,,3
"Finland",23,,3
"Liberia",89,1,6
"Norway",16,,2
"Slovakia",48,,
"Central African Republic",83,6,7
"Oman",11,1,2
"Ireland",7,,1
"New Zealand",16,12,12
"Mauritania",13,,
"Costa Rica",154,7,45
"Panama",264,35,185
"Croatia",15,,
"Georgia",20,,
"Eritrea",10,1,3
"Mongolia",20,,
"Uruguay",54,1,1
"Puerto Rico",35,,5
"Bosnia and Herzegovina",19,,1
"Moldova",7,,
"Namibia",24,2,3
"Armenia",9,,
"Lithuania",9,,
"Jamaica",57,17,45
"Albania",13,,1
"Gambia",40,,12
"Gabon",72,1,4
"Botswana",35,1,2
"Lesotho",7,,
"Slovenia",8,,
"Equatorial Guinea",19,2,
"Latvia",25,,
"Bahrain",5,,1
"Trinidad and Tobago",122,2,56
"Estonia",7,,
"Cyprus",9,,1
"Mauritius",16,4,11
"Eswatini",5,,
"Djibouti",22,,1
"Fiji",25,13,16
"Reunion",2,1,2
"Comoros",31,8,8
"Guyana",84,3,22
"Macau",,,1
"Luxembourg",15,,
"Montenegro",23,,
"Suriname",161,5,59
"Malta",2,,1
"Maldives",15,,
"Cape Verde",3,2,2
"Brunei",8,1,1
"Belize",91,1,5
"Bahamas",19,1,11
"Guadeloupe",14,,5
"Martinique",6,,3
"Vanuatu",25,8,11
"Mayotte",,,6
"French Guiana",224,27,54
"New Caledonia",21,6,7
"Barbados",5,,2
"French Polynesia",7,5,5
"Sao Tome and Principe",9,7,7
"Saint Lucia",13,1,6
"Guam",5,1,4
"Kiribati",5,,
"Seychelles",14,6,8
"Grenada",17,3,8
"Micronesia",19,9,12
"Tonga",13,3,5
"Saint Vincent and the Grenadines",1,,3
"Antigua and Barbuda",7,,4
"Dominica",10,,3
"Bermuda",1,,1
"Greenland",2,,2
"Saint Kitts and Nevis",3,,
"American Samoa",6,3,4
"Palau",16,6,6
"Nauru",4,,
"Wallis and Futuna",1,,
"Tuvalu",8,,
"Montserrat",5,,1
"Niue",1,,1
