Country,Precipitation
Colombia,3240
São Tomé and Príncipe,3200
Tuvalu,3200
Papua New Guinea,3142
Solomon Islands,3028
Panama,2928
Costa Rica,2926
Malaysia,2875
Brunei,2722
Indonesia,2702
Bangladesh,2666
Fiji,2592
Sierra Leone,2526
Singapore,2497
Liberia,2391
Guyana,2387
Grenada[a],2350
Philippines,2348
Suriname,2331
Seychelles,2330
Saint Lucia,2301
Nicaragua,2280
Ecuador,2274
Bhutan,2200
Trinidad and Tobago,2200
Equatorial Guinea,2156
Myanmar,2091
Dominica,2083
Puerto Rico,2054
Jamaica,2051
Venezuela,2044
Mauritius,2041
Vanuatu,2000
Guatemala,1996
Honduras,1976
Maldives,1972
Iceland,1940
Cambodia,1904
Laos,1834
Gabon,1831
Vietnam,1821
El Salvador,1784
Brazil,1761
Peru,1738
New Zealand,1732
Sri Lanka,1712
Belize,1705
Japan,1668
Guinea,1651
Congo,1646
Thailand,1622
Cameroon,1604
Saint Vincent and the Grenadines,1583
Guinea-Bissau,1577
DR Congo,1543
Switzerland,1537
Chile,1522
Madagascar,1513
East Timor,1500
Nepal,1500
Albania,1485
Haiti,1440
Saint Kitts and Nevis,1427
Barbados,1422
Norway,1414
Dominican Republic,1410
Ivory Coast,1348
Central African Republic,1343
Cuba,1335
Uruguay,1300
Bahamas,1292
Burundi,1274
South Korea,1274
United Kingdom,1220
Rwanda,1212
Ghana,1187
Malawi,1181
Uganda,1180
Togo,1168
Slovenia,1162
Nigeria,1150
Bolivia,1146
Paraguay,1130
Ireland,1118
Croatia,1113
Austria,1110
India,1083
Tanzania,1071
North Korea,1054
Benin,1039
Mozambique,1032
Antigua and Barbuda,1030
Bosnia and Herzegovina,1028
Georgia,1026
Zambia,1020
Angola,1010
Luxembourg,934
Comoros,900
South Sudan,900
France,867
Portugal,854
Ethiopia,848
Belgium,847
Gambia,836
Italy,832
Slovakia,824
Eswatini,788
Lesotho,788
Netherlands,778
Mexico,758
Burkina Faso,748
United States,715
Denmark,703
Germany,700
Tajikistan,691
Senegal,686
Czech Republic,677
Latvia,667
Lebanon,661
Zimbabwe,657
Lithuania,656
Greece,652
China,645
Romania,637
Spain,636
Kenya,630
Estonia,626
Sweden,624
North Macedonia,619
Belarus,618
Bulgaria,608
Poland,600
Turkey,593
Argentina,591
Hungary,589
Ukraine,565
Armenia,562
Malta,560
Canada,537
Finland,536
Australia,534
Kyrgyzstan,533
Cyprus,498
South Africa,495
Pakistan,494
Russia,460
Moldova,450
Azerbaijan,447
Israel,435
Botswana,416
Eritrea,384
Morocco,346
Afghanistan,327
Chad,322
Namibia,285
Mali,282
Somalia,282
Syria,252
Kazakhstan,250
Sudan,250
Mongolia,241
Cape Verde,228
Iran,228
Djibouti,220
Iraq,216
Tunisia,207
Uzbekistan,206
Yemen,167
Turkmenistan,161
Niger,151
Oman,125
Kuwait,121
Jordan,111
Mauritania,92
Algeria,89
Bahrain,83
United Arab Emirates,78
Qatar,74
Saudi Arabia,59
Libya,56
Egypt,18
