Country,Temperature
Burkina Faso,29.26
Mali,29.21
Aruba,29.17
Senegal,28.90
Mauritania,28.82
Tokelau,28.71
Tuvalu,28.62
Djibouti,28.49
Curaçao,28.40
Gambia,28.38
United Arab Emirates,28.17
Maldives,28.11
Niger,28.04
Benin,28.02
Qatar,28.02
Marshall Islands,28.01
Guinea-Bissau,27.98
South Sudan,27.97
Sudan,27.95
Palau,27.90
Nauru,27.83
Cayman Islands,27.82
Guam,27.81
Kiribati,27.77
Anguilla,27.71
Saint Martin,27.71
Sint Maarten,27.71
Bahrain,27.69
Singapore,27.68
Ghana,27.66
Oman,27.64
Chad,27.63
British Indian Ocean Territory,27.61
Northern Mariana Islands,27.60
Samoa,27.58
Caribbean Netherlands,27.47
Saint Kitts and Nevis,27.47
Cambodia,27.41
American Samoa,27.38
Togo,27.33
Nigeria,27.30
Wallis and Futuna,27.30
Federated States of Micronesia,27.28
Sri Lanka,27.25
Antigua and Barbuda,27.20
Seychelles,27.09
Saint Lucia,27.00
United States Virgin Islands,26.98
Brunei,26.95
Somalia,26.95
Thailand,26.85
Dominica,26.83
Ivory Coast,26.80
Cocos (Keeling) Islands,26.79
British Virgin Islands,26.70
Eritrea,26.63
Barbados,26.61
Suriname,26.58
Trinidad and Tobago,26.55
Sierra Leone,26.54
Grenada,26.49
Malaysia,26.38
Kuwait,26.31
Turks and Caicos Islands,26.29
Philippines,26.27
Saint Vincent and the Grenadines,26.17
Guyana,26.12
Christmas Island,26.06
Indonesia,25.96
Saudi Arabia,25.94
Solomon Islands,25.92
Jamaica,25.91
Nicaragua,25.88
Guinea,25.86
Cuba,25.81
Montserrat,25.75
Bangladesh,25.71
Venezuela,25.71
Belize,25.70
Panama,25.60
Bahamas,25.58
Yemen,25.54
Central African Republic,25.47
Liberia,25.45
Brazil,25.44
El Salvador,25.23
Gabon,25.20
Kenya,25.08
Puerto Rico,25.04
Niue,25.03
Tonga,25.01
Colombia,25.00
United States Minor Outlying Islands,24.97
Haiti,24.95
India,24.94
Costa Rica,24.83
Cameroon,24.80
Vietnam,24.79
Republic of the Congo,24.74
Papua New Guinea,24.74
Honduras,24.72
Cook Islands,24.71
Fiji,24.68
Equatorial Guinea,24.66
Timor-Leste,24.57
Dominican Republic,24.55
São Tomé and Príncipe,24.49
Vanuatu,24.44
Mozambique,24.41
Democratic Republic of the Congo,24.35
French Polynesia,24.30
Laos,24.16
Paraguay,23.92
Myanmar,23.82
Comoros,23.73
Guatemala,23.65
Algeria,23.60
Ethiopia,23.36
Mauritius,23.33
Uganda,23.25
Egypt,23.14
Iraq,22.95
Tanzania,22.92
Libya,22.81
New Caledonia,22.69
Malawi,22.66
Madagascar,22.64
Cape Verde,22.53
Zambia,22.23
Botswana,22.09
Australia,22.05
Zimbabwe,21.90
Angola,21.77
Bermuda,21.67
Ecuador,21.43
Pakistan,21.38
Mexico,21.31
Bolivia,20.76
Eswatini,20.64
Pitcairn Islands,20.56
Tunisia,20.53
Burundi,20.51
Namibia,20.45
Israel,19.99
Peru,19.72
Malta,19.58
Jordan,19.52
Palestine,19.50
Rwanda,19.20
Norfolk Island,19.01
Cyprus,18.95
Syria,18.75
Iran,18.34
South Africa,18.23
Gibraltar,18.15
Morocco,18.14
Saint Helena,18.10
Uruguay,17.97
Turkmenistan,16.66
Argentina,16.30
Portugal,15.85
Lebanon,15.45
Vatican City,15.20
Greece,14.26
Nepal,14.17
Spain,14.07
Uzbekistan,13.69
Monaco,13.53
Afghanistan,13.37
Italy,13.22
Azerbaijan,12.96
San Marino,12.83
Albania,12.44
Lesotho,12.38
Jersey,12.27
South Korea,12.22
Guernsey,12.09
Croatia,11.96
Japan,11.78
Turkey,11.66
France,11.65
Hungary,11.50
Serbia,11.40
Bulgaria,11.35
Moldova,10.89
North Macedonia,10.79
Belgium,10.67
Netherlands,10.49
New Zealand,10.46
Bhutan,10.38
Bosnia and Herzegovina,10.35
Romania,10.18
Kosovo,10.02
Luxembourg,10.02
Montenegro,9.93
Slovenia,9.86
Ireland,9.73
Isle of Man,9.65
Germany,9.59
United States,9.46
Chile,9.39
Ukraine,9.27
United Kingdom,9.24
Georgia,9.01
Denmark,8.90
Slovakia,8.83
Poland,8.78
Czech Republic,8.60
Andorra,8.27
Armenia,7.82
China,7.59
Liechtenstein,7.55
Belarus,7.45
Austria,7.44
Lithuania,7.38
Kazakhstan,7.11
North Korea,6.98
Latvia,6.87
Faroe Islands,6.60
Switzerland,6.47
Estonia,6.34
Saint Pierre and Miquelon,5.72
French Southern and Antarctic Lands,4.11
Tajikistan,3.85
Sweden,3.23
Kyrgyzstan,2.65
Finland,2.46
Heard Island and McDonald Islands,2.46
Norway,2.21
Iceland,1.85
Mongolia,1.07
Russia, -3.79
Canada,-4.03
Svalbard and Jan Mayen,-6.78
Greenland,-18.68
